ID	Upstream event	Relationship type	Downstream event
5	Reduction, 17beta-estradiol synthesis by ovarian granulosa cells	leads to	Reduction, Plasma 17beta-estradiol concentrations
9	Decreased, 3-hydroxyacyl-CoA dehydrogenase type-2 activity	leads to	Decreased, Mitochondrial fatty acid beta-oxidation
11	Inhibition, Acetylcholinesterase (AchE)	leads to	Accumulation, Acetylcholine in synapses
16	Altered regulation, AHR nuclear translocator (ARNT)-dependent pathways	leads to	Altered, Cardiovascular development/function
17	Altered regulation, AHR nuclear translocator (ARNT)-dependent pathways	leads to	Up Regulation, CYP1A1
18	Activation, AhR	leads to	Altered regulation, AHR nuclear translocator (ARNT)-dependent pathways
19	Activation, AhR	leads to	Up Regulation, CYP1A1
23	Alkylation, DNA	leads to	Increase, Heritable mutations in offspring
24	Alkylation, DNA	leads to	N/A, Insufficient or incorrect DNA repair
25	Alkylation, DNA	leads to	Increase, Mutations
31	Agonism, Androgen receptor	leads to	Reduction, Gonadotropins, circulating concentrations
32	Agonism, Androgen receptor	leads to	Reduction, Testosterone synthesis by ovarian theca cells
33	N/A, Androgen receptor, Antagonism	leads to	Decreased, Transcription of genes by AR
35	N/A, Androgen receptor, Antagonism	leads to	Alteration, Wnt pathway
36	Reduction, Angiogenesis	leads to	Impairment, Endothelial network
43	Decrease, Aromatase (Cyp19a1)	leads to	Reduction, 17beta-estradiol synthesis by ovarian granulosa cells
45	Inhibition, Aromatase	leads to	Reduction, 17beta-estradiol synthesis by ovarian granulosa cells
51	Induction, Ataxia, paralysis, or hyperactivity	leads to	Decrease, Population trajectory
53	Up Regulation, Biliary excretion	leads to	Decrease, Serum thyroxine (T4)
59	Reduction, Ca and HCO3 transport to shell gland	leads to	Reduction, Eggshell thickness
60	Increase, Ca++ (intracellular)	leads to	Disruption, Mitochondrial electron transport chain
61	Inhibition, Ca++ ATPase	leads to	Increase, Ca++ (intracellular)
62	Decreased, Calcium influx	leads to	Impairment, Learning and memory
66	Up Regulation, CD36	leads to	Increase, FA Influx
67	N/A, Cell injury/death	leads to	Increased, Activation and Recruitment of Hepatic macrophages (Kupffer Cells)
68	N/A, Cell injury/death	leads to	Activation, Stellate cells
69	Proliferation, Cell proliferation in the absence of cytotoxicity	leads to	Hyperplasia, Hyperplasia
70	Induction, Chitin degradation and resorption	leads to	Induction, Pre-mature molting
73	Induction, Chitin synthesis	leads to	Induction, Pre-mature molting
77	Activation, ChREBP	leads to	Synthesis, De Novo FA
82	Accumulation, Collagen	leads to	N/A, Liver fibrosis
85	Activation, Constitutive androstane receptor, NR1l3	leads to	Induction, Upregulation of glucuronyltransferase activity
88	N/A, Covalent binding to protein, possibly lysine residue	leads to	Activation, Inflammatory cytokines, chemokines, cytoprotective gene pathways
93	Production, Critical Metabolites (CGA 330050 and CGA 265307)	leads to	Induction, Liver “Dysfunctional” Changes by CGA 330050
94	Reduction, Cumulative fecundity and spawning	leads to	Decrease, Population trajectory
95	Inhibition, Cyclooxygenase activity	leads to	Reduction, Prostaglandin E2 concentration
96	Up Regulation, CYP1A1	leads to	Peptide Oxidation
104	Up Regulation, CYP1B1	leads to	Reduction, 17beta-estradiol synthesis by ovarian granulosa cells
108	Release, Cytokine	leads to	Increase, Inflammation
110	Synthesis, De Novo FA	leads to	Accumulation, Triglyceride
116	Activation, EcR	leads to	Induction, Chitin degradation and resorption
118	Activation, EcR	leads to	Induction, Chitin synthesis
123	Reduction, Eggshell thickness	leads to	N/A, Reproductive failure
125	Impairment, Endothelial network	leads to	Insufficiency, Vascular
126	Agonism, Estrogen receptor	leads to	Altered, Reproductive behaviour
127	Agonism, Estrogen receptor	leads to	Impaired development of, Reproductive organs
128	Agonism, Estrogen receptor	leads to	Increase, Vitellogenin synthesis in liver
129	Antagonism, Estrogen receptor	leads to	Reduction, Vitellogenin synthesis in liver
132	Increase, FA Influx	leads to	Accumulation, Triglyceride
133	Activation, FAS	leads to	Synthesis, De Novo FA
134	Accumulation, Fatty acid	leads to	Undefined, Liver Steatosis
135	Reduction, Fecundity	leads to	Decline, Population
136	N/A, Gap	leads to	Reduction, Ca and HCO3 transport to shell gland
143	Reduction, Gonadotropins, circulating concentrations	leads to	Reduction, Testosterone synthesis by ovarian theca cells
144	Depletion, GSH	leads to	N/A, Oxidative stress
146	Increased, Activation and Recruitment of Hepatic macrophages (Kupffer Cells)	leads to	Peptide Oxidation
147	Increased, Activation and Recruitment of Hepatic macrophages (Kupffer Cells)	leads to	Up Regulation, TGFbeta1 expression
148	Increase, Hepatic transport of parent T4	leads to	Up Regulation, Biliary excretion
149	Up Regulation, Hepatic transporter gene expression	leads to	Increase, Hepatic transport of parent T4
154	Decreased, HSD17B10 expression	leads to	Decreased, 3-hydroxyacyl-CoA dehydrogenase type-2 activity
158	Hyperplasia, Hyperplasia	leads to	Promotion, Hepatocelluar carcinoma
159	Inhibition, Inducible Nitric Oxide Synthase by Metabolite CGA 265307	leads to	Induction, Sustained Hepatotoxicity
164	N/A, Insufficient or incorrect DNA repair	leads to	Increase, Mutations
168	N/A, Interferences with SH-/selen-proteins	leads to	Depletion, GSH
169	Increase, Liver and splenic hemosiderosis	leads to	N/A, Methemoglobinemia, decreased hemoglobin, hematocrit, red blood cell number
170	Induction, Liver “Dysfunctional” Changes by CGA 330050	leads to	Inhibition, Inducible Nitric Oxide Synthase by Metabolite CGA 265307
172	Activation, Long term AHR receptor driven direct and indirect gene expression changes	leads to	N/A, Hepatotoxicity, Hepatopathy, including a constellation of observable effects
173	Activation, LXR	leads to	Up Regulation, CD36
174	Activation, LXR	leads to	Activation, ChREBP
175	Activation, LXR	leads to	Activation, FAS
176	Activation, LXR	leads to	Activation, SCD-1
177	Activation, LXR	leads to	Activation, SREBP-1c
182	N/A, Methemoglobinemia, decreased hemoglobin, hematocrit, red blood cell number	leads to	N/A, Cyanosis occurs
