ID	Title	Short name	Biological organization
3	Reduction, 17beta-estradiol synthesis by ovarian granulosa cells	Reduction, 17beta-estradiol synthesis by ovarian granulosa cells	Cellular
8	Decreased, 3-hydroxyacyl-CoA dehydrogenase type-2 activity	Decreased, 3-hydroxyacyl-CoA dehydrogenase type-2 activity	Cellular
9	Activation, 5HT2c	Activation, 5HT2c	Molecular
10	Accumulation, Acetylcholine in synapses	Accumulation, Acetylcholine in synapses	Cellular
12	Inhibition, Acetylcholinesterase (AchE)	Inhibition, Acetylcholinesterase (AchE)	Cellular
17	Altered regulation, AHR nuclear translocator (ARNT)-dependent pathways	Altered regulation, AHR nuclear translocator (ARNT)-dependent pathways	Molecular
18	Activation, AhR	Activation, AhR	Molecular
21	Altered regulation, Alpha hemoglobin	Altered regulation, Alpha hemoglobin	Cellular
25	Agonism, Androgen receptor	Agonism, Androgen receptor	Molecular
26	Antagonism, Androgen receptor	Antagonism, Androgen receptor	Molecular
27	N/A, Androgen receptor, Antagonism	N/A, Androgen receptor, Antagonism	Molecular
28	Reduction, Angiogenesis	Reduction, Angiogenesis	Molecular
29	Reduction in, Angiogenic sprouts	Reduction in, Angiogenic sprouts	
35	Decrease, Aromatase (Cyp19a1)	Decrease, Aromatase (Cyp19a1)	Cellular
36	Inhibition, Aromatase	Inhibition, Aromatase	Molecular
39	Induction, Ataxia, paralysis, or hyperactivity	Induction, Ataxia, paralysis, or hyperactivity	Organ
40	Decrease, Mitochondrial ATP production	Decrease, Mitochondrial ATP production	Cellular
41	Inhibition, Bile Salt Export Pump (ABCB11)	Inhibition, Bile Salt Export Pump (ABCB11)	Molecular
42	Up Regulation, Biliary excretion	Up Regulation, Biliary excretion	
46	Accumulation, Biological membranes	Accumulation, Biological membranes	Cellular
49	Reduction, Ca and HCO3 transport to shell gland	Reduction, Ca and HCO3 transport to shell gland	Tissue
50	Increase, Ca++ (intracellular)	Increase, Ca++ (intracellular)	Cellular
51	Inhibition, Ca++ ATPase	Inhibition, Ca++ ATPase	Molecular
52	Decreased, Calcium influx	Decreased, Calcium influx	Cellular
54	Up Regulation, CD36	Up Regulation, CD36	Molecular
55	N/A, Cell injury/death	N/A, Cell injury/death	Cellular
57	Proliferation, Cell proliferation in the absence of cytotoxicity	Proliferation, Cell proliferation in the absence of cytotoxicity	Cellular
59	Inhibition of Apoptosis in Altered Hepatic Foci, Changes in Cellular Growth Homeostasis	Inhibition of Apoptosis in Altered Hepatic Foci, Changes in Cellular Growth Homeostasis	
60	Induction, Chitin degradation and resorption	Induction, Chitin degradation and resorption	
62	Induction, Chitin synthesis	Induction, Chitin synthesis	
64	Reduction, Ionotropic GABA receptor chloride channel conductance	Reduction, Ionotropic GABA receptor chloride channel conductance	Cellular
66	Activation, ChREBP	Activation, ChREBP	Molecular
68	Accumulation, Collagen	Accumulation, Collagen	Tissue
71	Activation, Constitutive androstane receptor, NR1l3	Activation, Constitutive androstane receptor, NR1l3	
75	N/A, Covalent binding to protein, possibly lysine residue	N/A, Covalent binding to protein, possibly lysine residue	Molecular
77	Production, Critical Metabolites (CGA 330050 and CGA 265307)	Production, Critical Metabolites (CGA 330050 and CGA 265307)	Cellular
78	Reduction, Cumulative fecundity and spawning	Reduction, Cumulative fecundity and spawning	Individual
79	Inhibition, Cyclooxygenase activity	Inhibition, Cyclooxygenase activity	Molecular
80	Up Regulation, CYP1A1	Up Regulation, CYP1A1	Molecular
84	Up Regulation, CYP1B1	Up Regulation, CYP1B1	Molecular
87	Release, Cytokine	Release, Cytokine	Cellular
89	Synthesis, De Novo FA	Synthesis, De Novo FA	Cellular
97	Alkylation, DNA	Alkylation, DNA	Molecular
103	Activation, Ecdysone receptor	Activation, EcR	Molecular
105	Inhibition, ECT complexes of the respiratory chain	Inhibition, ECT complexes of the respiratory chain	
106	Reduction, Eggshell thickness	Reduction, Eggshell thickness	Tissue
110	Impairment, Endothelial network	Impairment, Endothelial network	Molecular
111	Agonism, Estrogen receptor	Agonism, Estrogen receptor	Molecular
112	Antagonism, Estrogen receptor	Antagonism, Estrogen receptor	Molecular
115	Increase, FA Influx	Increase, FA Influx	Cellular
116	Activation, FAS	Activation, FAS	Molecular
118	Formation, Formation of hemoglobin adducts	Formation, Formation of hemoglobin adducts	Cellular
119	N/A, Gap	N/A, Gap	Tissue
122	Activation, Glucocorticoid Receptor	Activation, Glucocorticoid Receptor	Molecular
129	Reduction, Gonadotropins, circulating concentrations	Reduction, Gonadotropins, circulating concentrations	Organ
130	Depletion, GSH	Depletion, GSH	Cellular
131	Down Regulation, Gulcose-6-phosphate dehydrogenase	Down Regulation, Gulcose-6-phosphate dehydrogenase	Cellular
134	Increased, Activation and Recruitment of Hepatic macrophages (Kupffer Cells)	Increased, Activation and Recruitment of Hepatic macrophages (Kupffer Cells)	Cellular
135	Increase, Hepatic transport of parent T4	Increase, Hepatic transport of parent T4	
136	Up Regulation, Hepatic transporter gene expression	Up Regulation, Hepatic transporter gene expression	
139	N/A, Hepatotoxicity, Hepatopathy, including a constellation of observable effects	N/A, Hepatotoxicity, Hepatopathy, including a constellation of observable effects	Tissue
140	Decreased, HSD17B10 expression	Decreased, HSD17B10 expression	Cellular
142	Hyperplasia, Hyperplasia	Hyperplasia, Hyperplasia	Tissue
145	Induction, IKB inhibitory protein	Induction, IKB inhibitory protein	Cellular
147	Inhibition, Inducible Nitric Oxide Synthase by Metabolite CGA 265307	Inhibition, Inducible Nitric Oxide Synthase by Metabolite CGA 265307	Cellular
149	Increase, Inflammation	Increase, Inflammation	Cellular
151	Activation, Inflammatory cytokines, chemokines, cytoprotective gene pathways	Activation, Inflammatory cytokines, chemokines, cytoprotective gene pathways	Molecular
152	Suppression, Inflammatory cytokines	Suppression, Inflammatory cytokines	Individual
155	N/A, Insufficient or incorrect DNA repair	N/A, Insufficient or incorrect DNA repair	Cellular
158	N/A, Interferences with SH-/selen-proteins	N/A, Interferences with SH-/selen-proteins	Cellular
161	Increase, Liver and splenic hemosiderosis	Increase, Liver and splenic hemosiderosis	Organ
164	Induction, Liver “Dysfunctional” Changes by CGA 330050	Induction, Liver “Dysfunctional” Changes by CGA 330050	Organ
165	Activation, Long term AHR receptor driven direct and indirect gene expression changes	Activation, Long term AHR receptor driven direct and indirect gene expression changes	Cellular
166	Decreased, Long-term potentiation (LTP)	Decreased, Long-term potentiation (LTP)	Organ
167	Activation, LXR	Activation, LXR	Molecular
168	Decreased, Lymphocytes	Decreased, Lymphocytes	Individual
169	Disruption, Membrane integrity	Disruption, Membrane integrity	Cellular
173	N/A, Methemoglobinemia, decreased hemoglobin, hematocrit, red blood cell number	N/A, Methemoglobinemia, decreased hemoglobin, hematocrit, red blood cell number	Organ
176	Damaging, Mitochondria	Damaging, Mitochondria	Cellular
177	N/A, Mitochondrial dysfunction 1	N/A, Mitochondrial dysfunction 1	Cellular
178	Disruption, Mitochondrial electron transport chain	Disruption, Mitochondrial electron transport chain	Cellular
179	Decreased, Mitochondrial fatty acid beta-oxidation	Decreased, Mitochondrial fatty acid beta-oxidation	Molecular
183	Abnormal, Morphogenesis	Abnormal, Morphogenesis	
185	Increase, Mutations	Increase, Mutations	Molecular
186	Altered, Neuroanatomy	Altered, Neuroanatomy	Organ
188	N/A, Neuroinflammation	N/A, Neuroinflammation	Tissue
191	N/A, Neuronal dysfunction	N/A, Neuronal dysfunction	Cellular
192	Altered, Neurophysiology	Altered, Neurophysiology	Organ
193	Decreased, Nitric Oxide	Decreased, Nitric Oxide	Cellular
195	Inhibition, NMDARs	Inhibition, NMDARs	Molecular
201	Binding of antagonist, NMDA receptors	Binding of antagonist, NMDA receptors	Molecular
202	Inhibition, Nuclear factor kappa B (NF-kB)	Inhibition, Nuclear factor kappa B (NF-kB)	Molecular
209	Peptide Oxidation	Peptide Oxidation	Molecular
210	N/A, Oxidative stress	N/A, Oxidative stress	Cellular
211	Propagation, Oxidative stress	Propagation, Oxidative stress	Molecular
