node_id	target	category	weight	source
AO1	alcoholism	AO	0.45901639344262296	RE9
AO2	emergencies	AO	0.22115384615384615	RE16
AO3	adenocarcinoma	AO	0.33650793650793653	RE17
AO4	enteritis	AO	0.24444444444444444	RE17
AO4	enteritis	AO	0.1424682395644283	RE22
AO5	cancer	AO	0.21122112211221122	RE28
AO6	breast cancer	AO	0.20352035203520352	RE28
AO7	dermatitis	AO	0.7802874743326489	RE40
AO8	death	AO	0.2774647887323944	RE44
AO7	dermatitis	AO	0.3317307692307692	RE46
AO7	dermatitis	AO	0.8152866242038217	RE49
AO9	eczema	AO	0.6496815286624203	RE49
AO10	thyroiditis	AO	0.9858442871587462	RE48
AO5	cancer	AO	0.1901639344262295	RE52
AO11	decreased fertility	AO	0.2174863387978142	RE52
AO12	obesity	AO	0.21202185792349726	RE52
AO13	prostatism	AO	0.17486338797814208	RE52
AO14	disease	AO	0.051347881899871634	RE53
AO10	thyroiditis	AO	0.8575096277278562	RE53
AO15	thyroid nodule	AO	0.4467265725288832	RE53
AO7	dermatitis	AO	0.08540218470705065	RE56
AO1	alcoholism	AO	0.9504504504504504	RE57
AO7	dermatitis	AO	0.04704944178628389	RE58
AO10	thyroiditis	AO	0.7439759036144579	RE64
AO16	carcinogenesis	AO	0.11499540018399264	RE66
AO17	chromosome aberrations	AO	0.795768169273229	RE66
AO7	dermatitis	AO	0.54	RE71
AO14	disease	AO	0.97	RE71
AO18	immune system diseases	AO	0.905	RE71
AO5	cancer	AO	0.6315331010452961	RE77
AO14	disease	AO	0.07926829268292683	RE77
AO12	obesity	AO	0.05836236933797909	RE77
AO7	dermatitis	AO	0.1059245960502693	RE80
AO19	vitiligo	AO	0.9856373429084381	RE80
AO7	dermatitis	AO	0.463768115942029	RE82
AO7	dermatitis	AO	0.9929742388758782	RE81
AO20	vaginitis	AO	0.8625377643504532	RE84
AO7	dermatitis	AO	0.7182539682539683	RE90
AO7	dermatitis	AO	0.9878048780487805	RE99
AO21	diabetes mellitus	AO	0.8429458740017747	RE97
AO12	obesity	AO	0.8198757763975155	RE97
AO14	disease	AO	0.8041237113402062	RE116
AO22	skin diseases	AO	0.7869415807560137	RE116
AO23	hemolysis	AO	0.5375139977603584	RE117
AO5	cancer	AO	0.45677233429394815	RE124
AO6	breast cancer	AO	0.44668587896253603	RE124
AO5	cancer	AO	0.6737089201877934	RE125
AO24	carcinoma	AO	0.5140845070422535	RE125
AO7	dermatitis	AO	0.10485436893203884	RE129
AO19	vitiligo	AO	0.9844660194174757	RE129
AO7	dermatitis	AO	0.28940568475452194	RE131
AO7	dermatitis	AO	0.048943270300333706	RE136
AO7	dermatitis	AO	0.8478260869565217	RE147
AO5	cancer	AO	0.3277404921700224	RE150
AO6	breast cancer	AO	0.319910514541387	RE150
AO25	erythema	AO	0.7058823529411765	RE161
AO26	poisoning	AO	0.9825581395348837	RE159
AO27	hepatitis	AO	0.3621621621621622	RE167
AO2	emergencies	AO	0.9393617021276596	RE170
AO5	cancer	AO	0.14073426573426573	RE178
AO28	autoimmune disease	AO	0.11800699300699301	RE178
AO24	carcinoma	AO	0.26048951048951047	RE178
AO14	disease	AO	0.12674825174825174	RE178
AO29	infertility	AO	0.13286713286713286	RE178
KE1030	increased 	KE	1.0	RE7
KE1030	increased 	KE	1.0	RE12
KE768	increase cytotoxicity	KE	4.5	RE10
KE770	increase cytotoxicity (club cells)	KE	-2.25	RE10
KE776	increase cytotoxicity (corneal cells)	KE	-2.25	RE10
KE780	increase cytotoxicity (epithelial cells)	KE	-2.25	RE10
KE794	increase cytotoxicity (urothelial cells)	KE	-2.25	RE10
KE1030	increased 	KE	1.0	RE10
KE169	disruption membrane integrity	KE	1.3333333333333333	RE17
KE1030	increased 	KE	1.0	RE20
KE808	decreased testosterone	KE	1.5	RE27
KE494	glucocorticoid receptor agonist activation	KE	-2.0	RE28
KE742	decreased androgen receptor activity	KE	-2.25	RE28
KE785	activation androgen receptor	KE	3.0	RE28
KE1193	breast cancer	KE	1.0	RE28
KE1030	increased 	KE	1.0	RE36
KE201	binding antagonist nmda receptors	KE	-1.25	RE41
KE1030	increased 	KE	1.0	RE43
KE1030	increased 	KE	1.0	RE44
KE1262	apoptosis	KE	1.0	RE44
KE312	allergic contact dermatitis challenge	KE	-0.75	RE46
KE1030	increased 	KE	1.0	RE45
KE277	decrease thyroid hormone synthesis	KE	2.5	RE48
KE286	decreased transcription genes ar	KE	-3.25	RE48
KE1021	increased t4 t3 catabolism	KE	-1.0	RE48
KE1030	increased 	KE	1.0	RE48
KE1030	increased 	KE	1.0	RE53
KE1030	increased 	KE	1.0	RE51
KE1157	activation hepatic nuclear receptor(s)	KE	-2.0	RE51
KE1396	increased glucocorticoid receptor activity	KE	-3.75	RE51
KE330	decrease fertility	KE	1.0	RE52
KE885	increase cancer	KE	3.0	RE52
KE1030	increased 	KE	1.0	RE52
KE1193	breast cancer	KE	2.0	RE52
KE1447	obesity	KE	1.0	RE52
KE312	allergic contact dermatitis challenge	KE	-0.75	RE56
KE312	allergic contact dermatitis challenge	KE	-0.75	RE58
KE1030	increased 	KE	1.0	RE60
KE1030	increased 	KE	1.0	RE66
KE1030	increased 	KE	1.0	RE70
