node_id	object
AO1	cancer
AO2	decreased fertility
KE249	production reactive oxygen species
KE1021	increased t4 t3 catabolism
KE169	disruption membrane integrity
KE808	decreased testosterone
KE330	decrease fertility
KE885	increase cancer
KE870	increase cell proliferation
KE785	activation androgen receptor
KE1157	activation hepatic nuclear receptor(s)
KE1182	increase cell proliferation (epithelial cells)
KE1113	unknown 
KE1205	activation juvenile hormone receptor
KE1392	oxidative stress 
KE1030	increased 
KE1278	ros formation
KE770	increase cytotoxicity (club cells)
KE312	allergic contact dermatitis challenge
KE210	oxidative stress
KE1445	increase lipid peroxidation
KE364	impaired development of reproductive organs
KE1281	increased dna damage repair
KE1115	increased reactive oxygen species
KE1194	increase dna damage
KE416	increase proliferation leydig cell 
KE277	decrease thyroid hormone synthesis
KE1396	increased glucocorticoid receptor activity
KE1447	obesity
KE923	increase proliferation goblet cells
KE1189	increased proliferation (endothelial cells) 
KE1033	increased proliferation mesenchymal cells
KE1249	oxidative stress 
KE122	activation glucocorticoid receptor
KE780	increase cytotoxicity (epithelial cells)
KE1089	increased cell proliferation (mesothelium)
KE294	unknown
KE201	binding antagonist nmda receptors
KE1193	breast cancer
KE742	decreased androgen receptor activity
KE446	reduction testosterone level
KE768	increase cytotoxicity
KE794	increase cytotoxicity (urothelial cells)
KE1262	apoptosis
KE130	depletion gsh
KE286	decreased transcription genes ar
KE494	glucocorticoid receptor agonist activation
KE776	increase cytotoxicity (corneal cells)
RE129	129
RE7	7
RE137	137
RE10	10
RE12	12
RE141	141
RE17	17
RE20	20
RE150	150
RE27	27
RE28	28
RE155	155
RE157	157
RE159	159
RE163	163
RE36	36
RE166	166
RE167	167
RE41	41
RE43	43
RE44	44
RE45	45
RE46	46
RE175	175
RE48	48
RE173	173
RE178	178
RE51	51
RE52	52
RE53	53
RE174	174
RE56	56
RE58	58
RE60	60
RE66	66
RE70	70
RE71	71
RE73	73
RE76	76
RE77	77
RE80	80
RE81	81
RE82	82
RE85	85
RE86	86
RE90	90
RE95	95
RE97	97
RE101	101
RE102	102
RE104	104
RE113	113
RE116	116
RE121	121
RE123	123
RE124	124
RE125	125
RE126	126
RE127	127
