node_id	target	category	weight	source
AO1	seizures	AO	1.0	RE2
AO2	dyspnea	AO	1.0	RE2
AO3	thyroiditis	AO	0.30960264900662254	RE3
AO4	hepatitis	AO	0.33661417322834647	RE4
AO3	thyroiditis	AO	0.9271653543307087	RE4
AO5	body weight	AO	0.3443396226415094	RE5
AO6	insulin receptor	AO	0.8216981132075472	RE5
AO7	obesity	AO	0.9367924528301886	RE5
AO8	overweight	AO	0.5688679245283019	RE5
AO9	thinness	AO	0.7249443207126949	RE6
AO10	emergencies	AO	0.08382066276803118	RE8
AO11	cancer	AO	0.08961748633879782	RE10
AO12	disease	AO	0.2677595628415301	RE10
AO10	emergencies	AO	0.73224043715847	RE10
AO13	neurodevelopmental disorders	AO	0.18032786885245902	RE10
AO7	obesity	AO	0.08415300546448087	RE10
AO3	thyroiditis	AO	0.26719056974459726	RE12
AO11	cancer	AO	0.4108352144469526	RE14
AO14	infertility	AO	0.3905191873589165	RE14
AO11	cancer	AO	0.4763157894736842	RE16
AO10	emergencies	AO	0.03367875647668394	RE22
AO3	thyroiditis	AO	0.825	RE24
AO15	lipid metabolism	AO	0.650853889943074	RE25
AO4	hepatitis	AO	0.6451977401129944	RE29
AO16	adipogenesis	AO	0.1502659574468085	RE33
AO17	hepatic steatosis	AO	0.2888631090487239	RE37
AO18	steatosis	AO	0.9501160092807425	RE37
AO4	hepatitis	AO	0.6392111368909513	RE37
AO15	lipid metabolism	AO	0.5382830626450116	RE37
AO7	obesity	AO	0.9443155452436195	RE37
AO10	emergencies	AO	0.36007827788649704	RE40
AO16	adipogenesis	AO	0.9676855895196507	RE46
AO19	cholestasis	AO	0.46812227074235807	RE46
AO20	fibrosis	AO	0.4611353711790393	RE46
AO21	hepatic fibrosis	AO	0.4558951965065502	RE46
AO4	hepatitis	AO	0.4558951965065502	RE46
AO15	lipid metabolism	AO	0.9021834061135371	RE46
AO12	disease	AO	0.054713804713804715	RE54
AO22	syndrome	AO	0.06060606060606061	RE54
AO23	poisoning	AO	0.9825581395348837	RE57
AO24	carcinogenesis	AO	0.11499540018399264	RE70
AO25	chromosome aberrations	AO	0.795768169273229	RE70
AO26	diabetes mellitus	AO	0.8429458740017747	RE73
AO7	obesity	AO	0.8198757763975155	RE73
AO27	death	AO	0.2774647887323944	RE82
AO28	hemolysis	AO	0.5375139977603584	RE83
AO5	body weight	AO	0.1750841750841751	RE84
AO7	obesity	AO	0.41414141414141414	RE84
AO5	body weight	AO	0.7334360554699538	RE89
AO10	emergencies	AO	0.24808743169398906	RE91
AO29	osteosarcoma	AO	0.16182572614107885	RE96
AO4	hepatitis	AO	0.3621621621621622	RE97
AO30	dermatitis	AO	0.362962962962963	RE101
AO11	cancer	AO	0.10765002290426019	RE103
AO31	breast cancer	AO	0.10444342647732478	RE103
AO12	disease	AO	0.058176820888685296	RE103
AO11	cancer	AO	0.10765002290426019	RE104
AO31	breast cancer	AO	0.10444342647732478	RE104
AO12	disease	AO	0.058176820888685296	RE104
AO10	emergencies	AO	0.9393617021276596	RE107
AO10	emergencies	AO	0.5104384133611691	RE109
AO7	obesity	AO	0.9943582510578279	RE110
KE808	decreased testosterone	KE	1.5	RE7
KE277	decrease thyroid hormone synthesis	KE	-0.75	RE4
KE342	increased lethality	KE	8.5	RE4
KE1030	increased 	KE	1.0	RE4
KE1030	increased 	KE	1.0	RE8
KE210	oxidative stress	KE	1.0	RE6
KE249	production reactive oxygen species	KE	-0.75	RE6
KE257	increase reactive oxygen species production	KE	-1.0	RE6
KE1030	increased 	KE	1.0	RE6
KE1115	increased reactive oxygen species	KE	1.25	RE6
KE1249	oxidative stress 	KE	1.0	RE6
KE1392	oxidative stress 	KE	1.0	RE6
KE1445	increase lipid peroxidation	KE	2.3333333333333335	RE6
KE315	decreased body length	KE	1.6666666666666667	RE3
KE330	decrease fertility	KE	2.0	RE3
KE417	skewed sex ratio	KE	1.0	RE3
KE864	decreased body weight	KE	1.6666666666666667	RE3
KE1030	increased 	KE	1.0	RE3
KE756	hippocampal gene expression altered 	KE	-1.25	RE5
KE881	increased triglyceride	KE	2.0	RE5
KE1030	increased 	KE	1.0	RE5
KE1239	altered gene expression	KE	1.6666666666666667	RE5
KE1447	obesity	KE	1.0	RE5
KE1454	chronic high fat diet	KE	-0.75	RE5
KE1262	apoptosis	KE	1.0	RE9
KE1030	increased 	KE	1.0	RE10
KE1447	obesity	KE	1.0	RE10
KE1030	increased 	KE	1.0	RE13
KE220	increase plasma vitellogenin concentrations	KE	-1.25	RE11
KE577	impaired development	KE	1.0	RE11
KE808	decreased testosterone	KE	1.0	RE11
KE1030	increased 	KE	1.0	RE11
KE1015	increased neuronal synaptic inhibition	KE	-4.0	RE12
KE1030	increased 	KE	1.0	RE12
KE122	activation glucocorticoid receptor	KE	2.0	RE15
KE494	glucocorticoid receptor agonist activation	KE	-1.5	RE15
KE742	decreased androgen receptor activity	KE	-1.25	RE15
KE785	activation androgen receptor	KE	1.6666666666666667	RE15
KE1030	increased 	KE	1.0	RE15
KE1396	increased glucocorticoid receptor activity	KE	-1.5	RE15
KE1030	increased 	KE	1.0	RE17
KE210	oxidative stress	KE	1.0	RE19
KE1238	activation oxidative stress pathway	KE	-2.25	RE19
KE1249	oxidative stress 	KE	1.0	RE19
KE1262	apoptosis	KE	1.0	RE19
KE1392	oxidative stress 	KE	1.0	RE19
KE1030	increased 	KE	1.0	RE22
KE1065	activation estrogen receptor alpha	KE	-1.0	RE23
KE1030	increased 	KE	1.0	RE27
