node_id	target	category	weight	source
AO1	cancer	AO	0.08961748633879782	RE10
AO1	cancer	AO	0.4108352144469526	RE14
AO1	cancer	AO	0.4763157894736842	RE16
AO2	adipogenesis	AO	0.1502659574468085	RE33
AO3	hepatic steatosis	AO	0.2888631090487239	RE37
AO4	steatosis	AO	0.9501160092807425	RE37
AO2	adipogenesis	AO	0.9676855895196507	RE46
AO1	cancer	AO	0.10765002290426019	RE103
AO1	cancer	AO	0.10765002290426019	RE104
KE277	decrease thyroid hormone synthesis	KE	-0.75	RE4
KE342	increased lethality	KE	8.5	RE4
KE1030	increased 	KE	1.0	RE4
KE808	decreased testosterone	KE	1.5	RE7
KE210	oxidative stress	KE	1.0	RE6
KE249	production reactive oxygen species	KE	-0.75	RE6
KE257	increase reactive oxygen species production	KE	-1.0	RE6
KE1030	increased 	KE	1.0	RE6
KE1115	increased reactive oxygen species	KE	1.25	RE6
KE1249	oxidative stress 	KE	1.0	RE6
KE1392	oxidative stress 	KE	1.0	RE6
KE1445	increase lipid peroxidation	KE	2.3333333333333335	RE6
KE756	hippocampal gene expression altered 	KE	-1.25	RE5
KE881	increased triglyceride	KE	2.0	RE5
KE1030	increased 	KE	1.0	RE5
KE1239	altered gene expression	KE	1.6666666666666667	RE5
KE1447	obesity	KE	1.0	RE5
KE1454	chronic high fat diet	KE	-0.75	RE5
KE1030	increased 	KE	1.0	RE8
KE315	decreased body length	KE	1.6666666666666667	RE3
KE330	decrease fertility	KE	2.0	RE3
KE417	skewed sex ratio	KE	1.0	RE3
KE864	decreased body weight	KE	1.6666666666666667	RE3
KE1030	increased 	KE	1.0	RE3
KE1262	apoptosis	KE	1.0	RE9
KE1030	increased 	KE	1.0	RE10
KE1447	obesity	KE	1.0	RE10
KE1030	increased 	KE	1.0	RE13
KE220	increase plasma vitellogenin concentrations	KE	-1.25	RE11
KE577	impaired development	KE	1.0	RE11
KE808	decreased testosterone	KE	1.0	RE11
KE1030	increased 	KE	1.0	RE11
KE1015	increased neuronal synaptic inhibition	KE	-4.0	RE12
KE1030	increased 	KE	1.0	RE12
KE122	activation glucocorticoid receptor	KE	2.0	RE15
KE494	glucocorticoid receptor agonist activation	KE	-1.5	RE15
KE742	decreased androgen receptor activity	KE	-1.25	RE15
KE785	activation androgen receptor	KE	1.6666666666666667	RE15
KE1030	increased 	KE	1.0	RE15
KE1396	increased glucocorticoid receptor activity	KE	-1.5	RE15
KE1030	increased 	KE	1.0	RE17
KE210	oxidative stress	KE	1.0	RE19
KE1238	activation oxidative stress pathway	KE	-2.25	RE19
KE1249	oxidative stress 	KE	1.0	RE19
KE1262	apoptosis	KE	1.0	RE19
KE1392	oxidative stress 	KE	1.0	RE19
KE1030	increased 	KE	1.0	RE22
KE1065	activation estrogen receptor alpha	KE	-1.0	RE23
KE1030	increased 	KE	1.0	RE27
KE249	production reactive oxygen species	KE	-0.75	RE32
KE1115	increased reactive oxygen species	KE	-0.75	RE32
KE1030	increased 	KE	1.0	RE33
KE1030	increased 	KE	1.0	RE38
KE1030	increased 	KE	1.0	RE37
