node_id	object
AO1	cancer
AO3	hepatic steatosis
AO2	adipogenesis
AO4	steatosis
KE277	decrease thyroid hormone synthesis
KE756	hippocampal gene expression altered 
KE294	unknown
KE344	liver fibrosis
KE494	glucocorticoid receptor agonist activation
KE785	activation androgen receptor
KE808	decreased testosterone
KE122	activation glucocorticoid receptor
KE1262	apoptosis
KE1015	increased neuronal synaptic inhibition
KE446	reduction testosterone level
KE1115	increased reactive oxygen species
KE1193	breast cancer
KE1278	ros formation
KE210	oxidative stress
KE881	increased triglyceride
KE742	decreased androgen receptor activity
KE1281	increased dna damage repair
KE1194	increase dna damage
KE1030	increased 
KE1181	activation estrogen receptor
KE1157	activation hepatic nuclear receptor(s)
KE1239	altered gene expression
KE1065	activation estrogen receptor alpha
KE1113	unknown 
KE864	decreased body weight
KE1238	activation oxidative stress pathway
KE315	decreased body length
KE167	activation lxr
KE312	allergic contact dermatitis challenge
KE330	decrease fertility
KE342	increased lethality
KE201	binding antagonist nmda receptors
KE1421	activated lxr
KE1263	necrosis
KE249	production reactive oxygen species
KE1180	estrogen receptor activation 
KE220	increase plasma vitellogenin concentrations
KE1060	alteration lipid metabolism
KE1445	increase lipid peroxidation
KE119	gap
KE1392	oxidative stress 
KE417	skewed sex ratio
KE257	increase reactive oxygen species production
KE1454	chronic high fat diet
KE577	impaired development
KE130	depletion gsh
KE1249	oxidative stress 
KE1447	obesity
KE1396	increased glucocorticoid receptor activity
RE2	2
RE3	3
RE4	4
RE5	5
RE6	6
RE7	7
RE8	8
RE9	9
RE10	10
RE11	11
RE12	12
RE13	13
RE14	14
RE15	15
RE16	16
RE17	17
RE19	19
RE22	22
RE23	23
RE27	27
RE32	32
RE33	33
RE37	37
RE38	38
RE39	39
RE40	40
RE44	44
RE45	45
RE46	46
RE53	53
RE54	54
RE57	57
RE59	59
RE61	61
RE64	64
RE69	69
RE70	70
RE73	73
RE76	76
RE79	79
RE81	81
RE82	82
RE84	84
RE86	86
RE89	89
RE90	90
RE97	97
RE101	101
RE103	103
RE104	104
RE110	110
